film,filmLabel,genreLabel,countryLabel,duration
http://www.wikidata.org/entity/Q83161,Паутина Шарлотты 2: Великое приключение Уилбура,музыкальный фильм,США,79
http://www.wikidata.org/entity/Q83161,Паутина Шарлотты 2: Великое приключение Уилбура,комедийная драма,США,79
http://www.wikidata.org/entity/Q86791,Рождественская история,драматический фильм,США,96
http://www.wikidata.org/entity/Q86791,Рождественская история,фэнтезийный фильм,США,96
http://www.wikidata.org/entity/Q86791,Рождественская история,мультфильм,США,96
http://www.wikidata.org/entity/Q86791,Рождественская история,комедийная драма,США,96
http://www.wikidata.org/entity/Q86791,Рождественская история,рождественский фильм,США,96
http://www.wikidata.org/entity/Q86791,Рождественская история,фильм о привидениях,США,96
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,комедийный фильм,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,мелодрама,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,постапокалиптика,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,приключенческий фильм,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,научно-фантастический фильм,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,юмористическая научная фантастика,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,романтическая комедия,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,романтический фильм,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,постапокалиптический фильм,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,приключение,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,детский фильм,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,кинофантастика,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,приключенческая фантастика,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,антиутопический фильм,США,98
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,флешбэк-фильм,США,98
http://www.wikidata.org/entity/Q120367,Подводная братва,комедийный фильм,США,90
http://www.wikidata.org/entity/Q120367,Подводная братва,приключенческий фильм,США,90
http://www.wikidata.org/entity/Q120367,Подводная братва,криминальный фильм,США,90
http://www.wikidata.org/entity/Q120367,Подводная братва,семейный фильм,США,90
http://www.wikidata.org/entity/Q120367,Подводная братва,детский фильм,США,90
http://www.wikidata.org/entity/Q126796,Храбрая сердцем,фэнтезийный фильм,США,94
http://www.wikidata.org/entity/Q126796,Храбрая сердцем,комедийная драма,США,94
http://www.wikidata.org/entity/Q126796,Храбрая сердцем,фильм о взрослении,США,94
http://www.wikidata.org/entity/Q126800,Делай ноги,комедийный фильм,США,108
http://www.wikidata.org/entity/Q126800,Делай ноги,приключенческий фильм,США,108
http://www.wikidata.org/entity/Q126800,Делай ноги,бадди-муви,США,108
http://www.wikidata.org/entity/Q126800,Делай ноги,музыкальный фильм,США,108
http://www.wikidata.org/entity/Q126800,Делай ноги,семейный фильм,США,108
http://www.wikidata.org/entity/Q126800,Делай ноги,комедийный фильм,Австралия,108
http://www.wikidata.org/entity/Q126800,Делай ноги,приключенческий фильм,Австралия,108
http://www.wikidata.org/entity/Q126800,Делай ноги,бадди-муви,Австралия,108
http://www.wikidata.org/entity/Q126800,Делай ноги,музыкальный фильм,Австралия,108
http://www.wikidata.org/entity/Q126800,Делай ноги,семейный фильм,Австралия,108
http://www.wikidata.org/entity/Q129161,Бэтмен: Год первый (мультфильм),триллер,США,64
http://www.wikidata.org/entity/Q129161,Бэтмен: Год первый (мультфильм),боевик,США,64
http://www.wikidata.org/entity/Q129161,Бэтмен: Год первый (мультфильм),супергеройский фильм,США,64
http://www.wikidata.org/entity/Q129193,Кунг-фу панда,комедийный фильм,США,92
http://www.wikidata.org/entity/Q129193,Кунг-фу панда,боевик,США,92
http://www.wikidata.org/entity/Q129193,Кунг-фу панда,приключенческий фильм,США,92
http://www.wikidata.org/entity/Q129193,Кунг-фу панда,уся,США,92
http://www.wikidata.org/entity/Q129193,Кунг-фу панда,семейный фильм,США,92
http://www.wikidata.org/entity/Q129193,Кунг-фу панда,фильм о кунгфу,США,92
http://www.wikidata.org/entity/Q129193,Кунг-фу панда,флешбэк-фильм,США,92
http://www.wikidata.org/entity/Q132863,В поисках Немо,комедийный фильм,США,100
http://www.wikidata.org/entity/Q132863,В поисках Немо,приключенческий фильм,США,100
http://www.wikidata.org/entity/Q132863,В поисках Немо,семейный фильм,США,100
http://www.wikidata.org/entity/Q132863,В поисках Немо,детский фильм,США,100
