company,companyLabel,inceptionYear,countryLabel,legalFormLabel,employees
http://www.wikidata.org/entity/Q19840890,Reifencom,1989,Германия,общество с ограниченной ответственностью,368
http://www.wikidata.org/entity/Q118574859,Global Digital Niaga,2010,Индонезия,акционерное общество,1841
http://www.wikidata.org/entity/Q118574859,Global Digital Niaga,2010,Индонезия,акционерное общество,2081
http://www.wikidata.org/entity/Q168238,OMV,1956,Австрия,AG в Австрии,22544
http://www.wikidata.org/entity/Q168238,OMV,1995,Австрия,AG в Австрии,22544
http://www.wikidata.org/entity/Q2392813,Tank ONO,1993,Чехия,общество с ограниченной ответственностью,539
http://www.wikidata.org/entity/Q831445,Sinopec,2000,Китай,акционерное общество,351019
http://www.wikidata.org/entity/Q971649,Orlen,1999,Польша,открытое акционерное общество в Польше,21282
http://www.wikidata.org/entity/Q971649,Orlen,1999,Польша,открытое акционерное общество в Польше,64494
http://www.wikidata.org/entity/Q2037080,Tesoro Corporation,1968,США,корпорация,14300
http://www.wikidata.org/entity/Q1516410,Suncor Energy,1917,Канада,акционерное общество в Канаде,12076
http://www.wikidata.org/entity/Q588786,Китайская национальная нефтегазовая корпорация,1988,Китай,Chinese wholly state-owned enterprise,1589508
http://www.wikidata.org/entity/Q108169127,Orlen Latvija,2003,Латвия,общество с ограниченной ответственностью,13
http://www.wikidata.org/entity/Q1622293,Государственная Нефтяная Компания Азербайджанской Республики,1992,Азербайджан,государственное предприятие,70000
http://www.wikidata.org/entity/Q616376,Neste,1948,Финляндия,Oy,5030
http://www.wikidata.org/entity/Q487494,Tesco,1919,Великобритания,публичная компания в Великобритании,423092
http://www.wikidata.org/entity/Q319642,Chevron,1879,США,Q130264119,48600
http://www.wikidata.org/entity/Q319642,Chevron,1984,США,Q130264119,48600
http://www.wikidata.org/entity/Q319642,Chevron,1879,США,публичная компания,48600
http://www.wikidata.org/entity/Q319642,Chevron,1984,США,публичная компания,48600
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1932,Саудовская Аравия,акционерное общество,79000
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1933,Саудовская Аравия,акционерное общество,79000
http://www.wikidata.org/entity/Q679322,Saudi Aramco,1988,Саудовская Аравия,акционерное общество,79000
http://www.wikidata.org/entity/Q52991379,ARMEX Oil,1999,Чехия,общество с ограниченной ответственностью,52
http://www.wikidata.org/entity/Q565594,Eni,1953,Италия,публичная компания,32492
http://www.wikidata.org/entity/Q297410,Asda,1965,Великобритания,частная компания,143125
http://www.wikidata.org/entity/Q210047,Petrobras,1953,Бразилия,S.A.,52000
http://www.wikidata.org/entity/Q154037,TotalEnergies,1924,Франция,европейское общестов,102887
http://www.wikidata.org/entity/Q1640290,ENEOS,1888,Япония,кабусики-гайся,13290
http://www.wikidata.org/entity/Q1640290,ENEOS,1888,Япония,кабусики-гайся,14114
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),20
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),30
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),14
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),16
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),18
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),25
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),27
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),28
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),29
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),31
http://www.wikidata.org/entity/Q1032400,Canadian Tire,1922,Канада,Business corporations (which includes professional corporations),32
http://www.wikidata.org/entity/Q154950,Shell,1890,Великобритания,публичная компания в Великобритании,90000
http://www.wikidata.org/entity/Q12329785,OK a.m.b.a.,1978,Дания,Andelsselskab med begrænset ansvar,1019
http://www.wikidata.org/entity/Q12329785,OK a.m.b.a.,1978,Дания,Andelsselskab med begrænset ansvar,1285
http://www.wikidata.org/entity/Q1755034,OMV Petrom,1997,Румыния,акционерное общество,12498
http://www.wikidata.org/entity/Q183275,Mitsubishi,1870,Япония,публичная компания,350000
http://www.wikidata.org/entity/Q183275,Mitsubishi,1950,Япония,публичная компания,350000
http://www.wikidata.org/entity/Q108169346,OMV Slovensko,1991,Словакия,компания с ограниченной ответственностью в Словакии,168
http://www.wikidata.org/entity/Q1615684,Hess Corporation,1919,США,американская корпорация,2075
http://www.wikidata.org/entity/Q329347,Лукойл,1991,Россия,открытое акционерное общество,101000
http://www.wikidata.org/entity/Q1615684,Hess Corporation,2006,США,американская корпорация,2075
