company,companyLabel,inceptionYear,countryLabel,legalFormLabel,employees
http://www.wikidata.org/entity/Q4647626,A. C. Smith & Co. Gas Station,1926,США,,
http://www.wikidata.org/entity/Q111328711,Q111328711,2011,Франция,общество с ограниченной ответственностью,
http://www.wikidata.org/entity/Q2256210,Бензоколонка «Ауто Палас»,1936,Нидерланды,,
http://www.wikidata.org/entity/Q1848828,Skovshoved Petrol Station,1936,Дания,,
http://www.wikidata.org/entity/Q136365892,Q136365892,1789,Королевство Вестфалия,,
http://www.wikidata.org/entity/Q136365892,Q136365892,1789,Королевство Ганновер,,
http://www.wikidata.org/entity/Q19841609,Lids,1995,США,,
http://www.wikidata.org/entity/Q17022601,HMV Canada,1988,Канада,,
http://www.wikidata.org/entity/Q136151038,On City,2024,Аргентина,,
http://www.wikidata.org/entity/Q136365892,Q136365892,1789,Королевство Пруссия,,
http://www.wikidata.org/entity/Q24435948,Southern Marsh Collection,2008,США,частная компания,
http://www.wikidata.org/entity/Q19841609,Lids,1995,Канада,,
http://www.wikidata.org/entity/Q7579966,Sportscraft,1914,Австралия,,
http://www.wikidata.org/entity/Q135256889,ParkerStore Trondheim,2013,Норвегия,,
http://www.wikidata.org/entity/Q19604400,Forman Mills,1981,США,корпорация,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Бельгия,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Швеция,,
http://www.wikidata.org/entity/Q246655,Next plc,1982,Великобритания,публичная компания в Великобритании,
http://www.wikidata.org/entity/Q121360533,Q121360533,1990,Панама,,5
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,США,,
http://www.wikidata.org/entity/Q135670603,AudiophileAudio,2025,Объединённые Арабские Эмираты,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Франция,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Германия,,
http://www.wikidata.org/entity/Q135394614,Q135394614,1873,Германия,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Нидерланды,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Швейцария,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Испания,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Португалия,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Великобритания,,
http://www.wikidata.org/entity/Q19840890,Reifencom,1989,Германия,общество с ограниченной ответственностью,368
http://www.wikidata.org/entity/Q136365892,Q136365892,1789,Брауншвейг-Люнебург,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Люксембург,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Канада,,
http://www.wikidata.org/entity/Q134777034,100 Nutrition,2019,Великобритания,,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Италия,,
http://www.wikidata.org/entity/Q122189809,Nestalia,2003,Италия,общество с ограниченной ответственностью,
http://www.wikidata.org/entity/Q60772401,COS (модный бренд),2007,Турция,,
http://www.wikidata.org/entity/Q116455571,Madeira Só Peixe,1996,Великобритания,,
http://www.wikidata.org/entity/Q4967357,BrightHouse,1994,Великобритания,,
http://www.wikidata.org/entity/Q116035876,Kartes-Moda,2007,Польша,индивидуальный предприниматель,
http://www.wikidata.org/entity/Q104638904,Chic Le Frique,2019,Объединённые Арабские Эмираты,,
http://www.wikidata.org/entity/Q121358765,Ekster®,2015,США,,
http://www.wikidata.org/entity/Q118574859,Global Digital Niaga,2010,Индонезия,акционерное общество,1841
http://www.wikidata.org/entity/Q118574859,Global Digital Niaga,2010,Индонезия,акционерное общество,2081
http://www.wikidata.org/entity/Q29585209,UK WorkStore,2012,Великобритания,,
http://www.wikidata.org/entity/Q105070844,CareCo UK,2009,Великобритания,частная компания,
http://www.wikidata.org/entity/Q135658081,Manchester House,2005,Австралия,,
http://www.wikidata.org/entity/Q7388435,SABA,1965,Австралия,,
http://www.wikidata.org/entity/Q135819026,Source Shop,2017,Франция,,
http://www.wikidata.org/entity/Q4748528,Ampol,1936,Австралия,,
http://www.wikidata.org/entity/Q137884559,Glaser & Garte,1875,Германия,партнёрство,
http://www.wikidata.org/entity/Q137907875,Q137907875,2015,Латвия,,
http://www.wikidata.org/entity/Q4698861,Airplane Service Station,1930,США,,
http://www.wikidata.org/entity/Q105431728,Peak Performance,2010,США,,
http://www.wikidata.org/entity/Q55162043,Q55162043,1823,Испания,,
http://www.wikidata.org/entity/Q48699321,CF Interiors,1979,Канада,,
http://www.wikidata.org/entity/Q130308767,W. Weitz,1848,Германия,GmbH & Co. KG,
http://www.wikidata.org/entity/Q131287584,Strass-steentjes.nl,2016,Нидерланды,vennootschap onder firma,
http://www.wikidata.org/entity/Q123615660,Michaelis & Eggerding,1888,Германия,общество с ограниченной ответственностью,
http://www.wikidata.org/entity/Q120142295,Lola Nena's,2012,Филиппины,,
http://www.wikidata.org/entity/Q1290252,Viba,1893,Германия,общество с ограниченной ответственностью,
http://www.wikidata.org/entity/Q136365892,Q136365892,1789,Германия,,
http://www.wikidata.org/entity/Q107313639,Lipsy Limited,1988,Великобритания,,
http://www.wikidata.org/entity/Q66191011,JAG,1972,Австралия,,
http://www.wikidata.org/entity/Q116031991,Hair Lux,2019,Польша,простое товарищество,
http://www.wikidata.org/entity/Q134588385,Q134588385,2010,Таиланд,,
http://www.wikidata.org/entity/Q133272164,Olkop,1989,Польша,,
http://www.wikidata.org/entity/Q55608360,Continental Oil Company Filling Station,1932,США,,
http://www.wikidata.org/entity/Q132348496,RealK,1997,Словакия,компания с ограниченной ответственностью в Словакии,
http://www.wikidata.org/entity/Q112095732,Q112095732,2000,Словакия,,
